"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Alabama","Season peak week","week","Bin","40","41",0.0021568610352933
"Alabama","Season peak week","week","Bin","41","42",0.0021568610352933
"Alabama","Season peak week","week","Bin","42","43",0.0021568610352933
"Alabama","Season peak week","week","Bin","43","44",0.0021568610352933
"Alabama","Season peak week","week","Bin","44","45",0.0021568610352933
"Alabama","Season peak week","week","Bin","45","46",0.0021568610352933
"Alabama","Season peak week","week","Bin","46","47",0.0021568610352933
"Alabama","Season peak week","week","Bin","47","48",0.0021568610352933
"Alabama","Season peak week","week","Bin","48","49",0.0021568610352933
"Alabama","Season peak week","week","Bin","49","50",0.0021568610352933
"Alabama","Season peak week","week","Bin","50","51",0.0021568610352933
"Alabama","Season peak week","week","Bin","51","52",0.0021568610352933
"Alabama","Season peak week","week","Bin","52","53",0.0021568610352933
"Alabama","Season peak week","week","Bin","1","2",0.0021568610352933
"Alabama","Season peak week","week","Bin","2","3",0.0021568610352933
"Alabama","Season peak week","week","Bin","3","4",0.930980446870614
"Alabama","Season peak week","week","Bin","4","5",0.0021568610352933
"Alabama","Season peak week","week","Bin","5","6",0.0021568610352933
"Alabama","Season peak week","week","Bin","6","7",0.0021568610352933
"Alabama","Season peak week","week","Bin","7","8",0.0021568610352933
"Alabama","Season peak week","week","Bin","8","9",0.0021568610352933
"Alabama","Season peak week","week","Bin","9","10",0.0021568610352933
"Alabama","Season peak week","week","Bin","10","11",0.0021568610352933
"Alabama","Season peak week","week","Bin","11","12",0.0021568610352933
"Alabama","Season peak week","week","Bin","12","13",0.0021568610352933
"Alabama","Season peak week","week","Bin","13","14",0.0021568610352933
"Alabama","Season peak week","week","Bin","14","15",0.0021568610352933
"Alabama","Season peak week","week","Bin","15","16",0.0021568610352933
"Alabama","Season peak week","week","Bin","16","17",0.0021568610352933
"Alabama","Season peak week","week","Bin","17","18",0.0021568610352933
"Alabama","Season peak week","week","Bin","18","19",0.0021568610352933
"Alabama","Season peak week","week","Bin","19","20",0.0021568610352933
